Product,Region,WeekStartDate,Weekly_Sales,Stock_Level,roll_mean_7,roll_std_7,roll_mean_30,roll_std_30
Product_A,East,2022-12-26,97,145,,,,
Product_A,East,2023-01-02,689,165,103.08690476190476,17.527348036271643,103.05714285714286,17.216233401162963
Product_A,East,2023-01-09,728,94,103.20408163265306,22.286936743907347,102.71562960848675,21.253107837777698
Product_A,East,2023-01-16,711,181,101.75510204081634,28.441266671417136,102.39045680473146,23.37134088733225
Product_A,East,2023-01-23,797,140,104.20408163265306,19.54411728587034,102.83271751399722,22.58017479516772
Product_A,East,2023-01-30,870,123,122.06122448979592,15.268537725682435,107.27142857142857,23.204235402892234
Product_A,East,2023-02-06,825,198,122.71428571428571,23.38269744572013,112.20952380952382,23.80387050217343
Product_A,East,2023-02-13,785,150,113.36734693877551,18.19194200896122,114.51904761904761,21.84615359054436
Product_A,East,2023-02-20,817,139,113.53061224489795,20.555681360490812,117.48571428571428,19.422853090562462
Product_A,East,2023-02-27,825,140,118.24489795918369,11.84650071765061,117.60000000000001,18.93887305715365
Product_A,East,2023-03-06,806,165,115.46938775510205,11.925654300483757,115.21904761904761,16.11066664756132
Product_A,East,2023-03-13,833,152,118.93877551020408,16.462240207128428,116.35238095238095,15.823025785364603
Product_A,East,2023-03-20,813,198,116.6734693877551,24.087399022537145,117.23333333333333,16.211875798593518
Product_A,East,2023-03-27,844,136,117.16326530612244,21.086270919877865,117.17142857142858,17.82515532017882
Product_A,East,2023-04-03,879,176,126.63265306122449,24.478706946961484,119.46190476190476,20.701708583635025
Product_A,East,2023-04-10,851,187,125.26530612244899,24.81566940000335,121.18571428571428,22.95931473226029
Product_A,East,2023-04-17,606,166,116.94285714285714,22.660133158261527,121.75999999999999,22.37776908637527
Product_A,East,2023-04-24,808,146,115.87755102040816,13.42697675475839,121.05714285714285,21.19612106871151
Product_A,East,2023-05-01,792,169,116.63265306122449,13.211809462925816,119.98571428571428,19.97816257498552
Product_A,East,2023-05-08,738,156,109.73469387755101,22.12872652339843,115.83333333333334,18.670989330298557
Product_A,East,2023-05-15,825,161,109.9591836734694,23.246841599260563,112.9904761904762,18.415119806819575
Product_A,East,2023-05-22,808,177,115.81632653061226,11.433434830124865,113.16666666666666,17.732994266862324
Product_A,East,2023-05-29,741,136,109.04081632653062,11.755618515712117,111.31428571428572,17.830295577465236
Product_A,East,2023-06-05,732,159,109.36734693877551,15.47429113245058,110.75238095238095,16.49099355516212
Product_A,East,2023-06-12,770,145,107.18367346938774,19.411613445557798,110.82380952380952,15.214276878793962
Product_A,East,2023-06-19,713,154,107.24489795918369,21.479898672036462,108.6047619047619,16.569357792224885
Product_A,East,2023-06-26,708,126,96.36734693877551,21.950134667975412,105.11904761904762,19.43207954173581
Product_A,East,2023-07-03,740,189,104.61224489795917,16.550771168151254,104.06190476190477,19.56069889681419
Product_A,East,2023-07-10,684,146,102.89795918367346,10.206888570353568,103.25238095238095,18.259875490510122
Product_A,East,2023-07-17,658,82,95.55102040816327,14.145968276388357,100.0047619047619,16.44338299701433
Product_A,East,2023-07-24,610,121,88.44897959183673,13.489235296917656,98.10000000000001,15.298650222311464
