Product,Region,MAE,RMSE,MAPE
Product_A,East,47.30310314169926,82.39566414443658,14.218290134089564
Product_A,North,52.330776109769275,86.52162372719748,14.681021551748813
Product_A,South,49.464604697614014,77.35347209166122,16.124828483259293
Product_B,East,76.59223949307734,134.66007468838802,13.699544577236129
Product_B,North,73.08848782125611,121.81853443320364,14.016860064727704
Product_B,South,74.38224653240428,113.70629811967768,14.605380811394872
Product_C,East,60.22579127178597,99.67396709545804,13.606005173138799
Product_C,North,49.49725997751284,88.22490587114841,15.62074898052396
Product_C,South,57.464039280395895,98.03441062096492,14.267856924252884
Product_D,East,60.74578069290896,105.04363112103903,13.94728322235843
Product_D,North,64.27588249775405,104.22331251314264,16.145578579182963
Product_D,South,67.91278517726246,110.39709529280803,14.535706936843262
Product_E,East,63.317864456832886,107.33423056794908,16.126050169067998
Product_E,North,55.667096372406185,105.1919992940447,12.47902333002774
Product_E,South,54.41266056201659,92.43471718091143,13.505898545549853
