ds,yhat,yhat_lower,yhat_upper,Product,Region
2022-12-26,510.77250062024916,404.7884212605806,616.5983456727436,Product_A,East
2023-01-02,538.2465116110825,437.95719475969287,634.8135006020121,Product_A,East
2023-01-09,642.9516492474199,536.7575440570301,753.2331136044005,Product_A,East
2023-01-16,759.2030707559932,652.6230112138126,854.7510543391328,Product_A,East
2023-01-23,823.4885916439611,722.8761358522506,928.6945686624176,Product_A,East
2023-01-30,828.3685570882336,723.428924076575,939.6370777414515,Product_A,East
2023-02-06,814.2918273871403,702.6961400749342,927.481045127519,Product_A,East
2023-02-13,816.2633120132608,715.1910634195933,919.6538711619638,Product_A,East
2023-02-20,829.8662754429811,728.2433653205209,939.7777175705173,Product_A,East
2023-02-27,831.3215481020796,725.0338998611348,944.3407267962383,Product_A,East
2023-03-06,818.2809939810678,716.3219948288212,925.5877573390518,Product_A,East
2023-03-13,815.4896654907238,707.6417770458539,920.354986514475,Product_A,East
2023-03-20,837.9749423021723,733.609886280671,949.664976826748,Product_A,East
2023-03-27,861.5153763452056,749.1855039655197,969.902994237869,Product_A,East
2023-04-03,843.4456466773454,735.8162855459689,953.5022914665387,Product_A,East
2023-04-10,773.9012853647201,674.4604765906472,878.4914357413049,Product_A,East
2023-04-17,696.3745947225062,595.4132292465306,804.6025481265148,Product_A,East
2023-04-24,669.0661368505578,561.2736745946522,771.8506732499865,Product_A,East
2023-05-01,707.1150811075782,592.9447677359886,823.3342724532101,Product_A,East
2023-05-08,768.7474322180487,661.9490450338736,863.4730823461196,Product_A,East
2023-05-15,798.9818787245075,703.0313651576905,894.7246170422902,Product_A,East
2023-05-22,781.5841563809033,674.5169903455313,887.3764612457265,Product_A,East
2023-05-29,745.4718719349156,640.0140697616935,861.1073201587305,Product_A,East
2023-06-05,726.2530209080061,624.3036245528843,828.2957239690849,Product_A,East
2023-06-12,730.4157326854913,624.8636061293213,832.3580975838183,Product_A,East
2023-06-19,737.8920562639095,631.7434953352415,845.9173797597318,Product_A,East
2023-06-26,730.2308772244069,629.5233587860474,844.9211802451267,Product_A,East
2023-07-03,707.2162632496619,600.6915106561421,817.322293271303,Product_A,East
2023-07-10,677.856066429683,572.8131481875482,781.6759330251555,Product_A,East
2023-07-17,645.7149298373735,538.2700709014533,749.4815784538104,Product_A,East
2023-07-24,609.9204811662153,500.7527708231187,716.875460117407,Product_A,East
2023-07-31,576.1210710565788,470.4112045613185,682.8165245537933,Product_A,East
2023-08-07,556.753200343288,456.90116761077866,659.1820907091592,Product_A,East
2023-08-14,556.9127810383618,459.78300192824526,663.7330335514555,Product_A,East
2023-08-21,565.1492311224476,454.20987223716924,665.0051000511418,Product_A,East
2023-08-28,564.1471392424228,454.2161591511274,676.2474396313359,Product_A,East
2023-09-04,549.7922425064049,451.822177813747,654.8289132222036,Product_A,East
2023-09-11,534.8499509577038,426.02394437912034,638.0230869707859,Product_A,East
2023-09-18,532.7401583006119,428.6239425332051,643.5774181897767,Product_A,East
2023-09-25,542.2264750879554,435.72111633847027,648.6273335360254,Product_A,East
2023-10-02,551.5104298798443,442.84293349435285,658.7848716455593,Product_A,East
2023-10-09,553.9809810944297,447.5376722984564,661.5227896556123,Product_A,East
2023-10-16,553.6921047990808,450.4304621885661,662.0965055516,Product_A,East
2023-10-23,555.3565457708519,445.8176419454037,667.5925957437222,Product_A,East
2023-10-30,556.7864711782096,458.72526351211565,662.7289879925036,Product_A,East
2023-11-06,557.3077568202996,448.1546038433077,665.3142287757267,Product_A,East
